ring_sigma,N_sources_detected,N_components,largest_component_fraction,masked_area_fraction,total_masked_pixels,roi_pixels
3.0,238,211,0.07173695853849997,0.09476246830092984,56052,591500
2.5,287,244,0.062094462049192695,0.11203719357565511,66270,591500
2.0,337,275,0.06474564663208493,0.13330008453085376,78847,591500
1.5,412,325,0.059828630046060705,0.1681048182586644,99434,591500
1.0,475,340,0.06385091209960206,0.21454775993237532,126905,591500
