# x  y  peak_value  net_flux  bg_per_pixel  magnitude  mag_error
455 358 3497.00 1580.50 3419.44 17.3030 0.0200
238 81 3496.00 2050.66 3421.21 17.0203 0.0200
800 116 3496.00 1655.00 3420.82 17.2530 0.0200
24 542 3496.00 2799.45 3419.08 16.6823 0.0200
607 32 3495.00 5242.76 3424.15 16.0011 0.0200
101 553 3495.00 1534.20 3419.93 17.3353 0.0200
525 240 3494.00 1532.50 3419.30 17.3365 0.0200
26 484 3494.00 1492.62 3420.48 17.3651 0.0200
684 316 3493.00 1546.66 3420.68 17.3265 0.0200
181 329 3493.00 1402.25 3425.34 17.4329 0.0200
782 90 3492.00 1642.25 3420.24 17.2614 0.0200
590 13 3491.00 6313.62 3425.84 15.7993 0.0200
725 92 3491.00 2583.27 3420.48 16.7696 0.0200
77 433 3491.00 1399.38 3420.52 17.4352 0.0200
151 18 3490.00 3577.65 3420.87 16.4160 0.0200
700 154 3490.00 2399.05 3419.28 16.8499 0.0200
837 155 3490.00 1098.04 3421.21 17.6985 0.0200
804 321 3490.00 908.77 3420.73 17.9039 0.0200
300 236 3489.00 1605.04 3421.92 17.2863 0.0200
509 227 3488.00 1004.56 3424.95 17.7951 0.0200
207 291 3487.00 1612.23 3421.12 17.2814 0.0200
678 383 3487.00 1412.19 3419.16 17.4253 0.0200
872 601 3487.00 799.15 3417.48 18.0434 0.0200
540 623 3487.00 1253.89 3420.74 17.5544 0.0200
521 34 3486.00 1184.38 3422.79 17.6163 0.0200
717 63 3486.00 1482.12 3419.73 17.3728 0.0200
121 139 3486.00 766.51 3424.74 18.0887 0.0200
461 280 3486.00 1576.38 3420.01 17.3059 0.0200
237 520 3486.00 4432.77 3420.68 16.1833 0.0200
818 340 3485.00 925.83 3421.45 17.8837 0.0200
163 406 3485.00 2251.64 3418.37 16.9188 0.0200
11 450 3485.00 3124.52 3419.29 16.5630 0.0200
621 91 3484.00 1225.41 3422.85 17.5793 0.0200
455 598 3484.00 1529.97 3423.08 17.3383 0.0200
804 649 3484.00 1616.09 3417.78 17.2788 0.0200
559 137 3483.00 1405.99 3423.06 17.4300 0.0200
403 204 3483.00 2123.88 3417.79 16.9822 0.0200
901 212 3483.00 1492.02 3418.10 17.3656 0.0200
345 254 3482.00 2090.38 3419.62 16.9994 0.0200
821 408 3482.00 1613.12 3416.83 17.2808 0.0200
832 552 3482.00 953.83 3421.73 17.8513 0.0200
243 286 3481.00 1362.00 3420.35 17.4646 0.0200
837 389 3481.00 1329.63 3417.58 17.4907 0.0200
71 580 3481.00 929.14 3421.24 17.8798 0.0200
740 145 3480.00 737.93 3422.07 18.1300 0.0200
76 375 3480.00 1684.96 3420.29 17.2335 0.0200
287 598 3480.00 1359.00 3420.06 17.4670 0.0200
600 66 3479.00 1194.25 3420.95 17.6073 0.0200
12 115 3479.00 777.09 3426.31 18.0738 0.0200
348 165 3479.00 567.98 3424.72 18.4142 0.0200
439 219 3479.00 927.09 3420.03 17.8822 0.0200
513 524 3479.00 1281.38 3419.46 17.5308 0.0200
221 90 3478.00 1869.85 3423.71 17.1205 0.0200
629 119 3478.00 2767.90 3419.74 16.6946 0.0200
329 387 3478.00 1119.88 3423.88 17.6771 0.0200
698 98 3477.00 1277.86 3422.19 17.5338 0.0200
143 347 3477.00 2355.11 3419.36 16.8700 0.0200
414 478 3477.00 815.37 3420.95 18.0216 0.0200
746 311 3476.00 823.78 3420.97 18.0105 0.0200
600 514 3476.00 1357.75 3417.21 17.4680 0.0200
665 566 3476.00 288.47 3427.81 19.1497 0.0200
270 621 3476.00 1268.86 3420.47 17.5415 0.0200
686 23 3475.00 1454.12 3421.36 17.3935 0.0200
887 331 3475.00 1474.75 3420.09 17.3782 0.0200
523 487 3475.00 1268.62 3418.54 17.5417 0.0200
243 506 3475.00 566.21 3426.13 18.4176 0.0200
625 574 3475.00 677.49 3424.91 18.2227 0.0200
258 641 3475.00 672.67 3421.18 18.2305 0.0200
380 293 3474.00 765.33 3419.92 18.0904 0.0200
9 394 3474.00 575.65 3420.60 18.3996 0.0200
53 425 3474.00 1153.26 3418.95 17.6452 0.0200
452 553 3474.00 3470.28 3418.23 16.4491 0.0200
329 10 3473.00 564.84 3425.42 18.4202 0.0200
333 165 3473.00 970.23 3424.81 17.8328 0.0200
312 250 3473.00 660.28 3421.13 18.2507 0.0200
539 267 3473.00 1399.38 3420.01 17.4352 0.0200
73 597 3473.00 674.88 3421.80 18.2269 0.0200
176 506 3472.00 552.89 3422.49 18.4434 0.0200
179 27 3471.00 1065.38 3422.83 17.7312 0.0200
705 178 3471.00 573.37 3422.50 18.4039 0.0200
419 179 3471.00 712.92 3423.76 18.1674 0.0200
366 606 3471.00 661.59 3419.53 18.2485 0.0200
120 66 3470.00 1068.75 3422.45 17.7278 0.0200
208 75 3470.00 536.51 3423.36 18.4760 0.0200
84 89 3470.00 1430.12 3419.88 17.4116 0.0200
90 155 3470.00 587.60 3420.77 18.3773 0.0200
274 166 3470.00 1282.61 3422.70 17.5298 0.0200
711 225 3470.00 1271.12 3418.08 17.5395 0.0200
189 245 3470.00 460.93 3422.69 18.6409 0.0200
706 273 3470.00 665.75 3420.87 18.2417 0.0200
71 607 3470.00 724.24 3422.34 18.1503 0.0200
363 642 3470.00 332.58 3421.49 18.9952 0.0200
796 54 3469.00 1125.00 3424.35 17.6721 0.0200
3 150 3469.00 291.33 3426.05 19.1390 0.0200
832 172 3469.00 267.81 3425.17 19.2304 0.0200
451 407 3469.00 1198.62 3421.09 17.6033 0.0200
855 88 3468.00 706.28 3420.09 18.1776 0.0200
544 190 3468.00 580.26 3422.20 18.3910 0.0200
387 247 3468.00 687.79 3425.21 18.2064 0.0200
606 279 3468.00 326.29 3423.67 19.0160 0.0200
178 407 3468.00 1236.01 3420.88 17.5699 0.0200
336 562 3468.00 1113.00 3422.12 17.6838 0.0200
673 646 3468.00 1291.36 3418.70 17.5224 0.0200
650 56 3467.00 239.02 3427.46 19.3539 0.0200
529 142 3467.00 667.92 3425.83 18.2382 0.0200
244 369 3467.00 184.27 3430.06 19.6364 0.0200
430 507 3467.00 664.94 3421.93 18.2430 0.0200
59 531 3467.00 244.41 3427.43 19.3297 0.0200
752 607 3467.00 588.92 3421.83 18.3749 0.0200
383 636 3467.00 683.50 3423.50 18.2132 0.0200
339 11 3466.00 439.36 3426.61 18.6930 0.0200
314 205 3466.00 341.74 3424.56 18.9658 0.0200
90 336 3466.00 208.41 3426.12 19.5027 0.0200
535 358 3466.00 543.20 3423.58 18.4626 0.0200
222 545 3466.00 232.06 3425.38 19.3860 0.0200
396 590 3466.00 280.44 3423.74 19.1804 0.0200
46 611 3466.00 671.75 3419.87 18.2320 0.0200
859 0 3465.00 23823.19 3420.70 14.3575 0.0200
238 47 3465.00 661.36 3420.64 18.2489 0.0200
735 207 3465.00 198.53 3427.19 19.5554 0.0200
70 376 3465.00 1173.93 3421.25 17.6259 0.0200
247 401 3465.00 461.34 3426.16 18.6399 0.0200
332 429 3465.00 1083.12 3421.69 17.7133 0.0200
683 485 3465.00 769.66 3417.84 18.0843 0.0200
89 557 3465.00 509.61 3421.57 18.5319 0.0200
90 25 3464.00 302.30 3424.90 19.0989 0.0200
616 65 3464.00 525.72 3425.91 18.4981 0.0200
225 174 3464.00 182.82 3427.86 19.6449 0.0200
285 448 3464.00 550.23 3425.27 18.4486 0.0200
86 460 3464.00 675.85 3420.52 18.2254 0.0200
56 301 3463.00 220.66 3426.18 19.4407 0.0200
480 357 3463.00 547.15 3423.10 18.4547 0.0200
569 517 3463.00 1110.00 3417.18 17.6867 0.0200
818 46 3462.00 200.25 3423.75 19.5461 0.0200
683 601 3462.00 286.89 3422.39 19.1557 0.0200
865 74 3461.00 471.25 3425.13 18.6169 0.0200
231 85 3461.00 332.38 3426.47 18.9959 0.0200
19 244 3461.00 587.97 3420.28 18.3766 0.0200
800 294 3461.00 277.88 3422.24 19.1904 0.0200
3 412 3461.00 294.93 3427.21 19.1257 0.0200
71 525 3461.00 627.71 3420.04 18.3056 0.0200
358 573 3461.00 1077.00 3421.16 17.7195 0.0200
416 577 3461.00 210.20 3427.52 19.4934 0.0200
566 4 3460.00 796.39 3424.26 18.0472 0.0200
273 72 3460.00 243.71 3422.33 19.3328 0.0200
512 91 3460.00 303.12 3421.61 19.0960 0.0200
703 92 3460.00 912.53 3422.76 17.8994 0.0200
0 128 3460.00 328.05 3427.89 19.0101 0.0200
678 150 3460.00 179.85 3427.01 19.6627 0.0200
871 350 3460.00 195.70 3425.56 19.5710 0.0200
823 530 3460.00 297.38 3422.66 19.1167 0.0200
707 551 3460.00 589.35 3421.02 18.3741 0.0200
462 585 3460.00 210.91 3422.93 19.4898 0.0200
826 0 3459.00 63.50 3431.17 20.7931 0.0200
244 26 3459.00 187.63 3424.49 19.6167 0.0200
287 111 3459.00 241.24 3425.52 19.3439 0.0200
114 118 3459.00 269.39 3425.97 19.2240 0.0200
30 176 3459.00 506.88 3421.62 18.5377 0.0200
784 387 3459.00 965.25 3417.59 17.8384 0.0200
191 460 3459.00 556.37 3422.88 18.4366 0.0200
276 469 3459.00 404.29 3427.33 18.7833 0.0200
394 473 3459.00 590.92 3422.83 18.3712 0.0200
305 516 3459.00 188.89 3429.70 19.6095 0.0200
165 527 3459.00 198.82 3423.63 19.5538 0.0200
827 551 3459.00 216.48 3424.96 19.4615 0.0200
544 588 3459.00 470.56 3424.19 18.6185 0.0200
640 602 3459.00 205.02 3423.46 19.5205 0.0200
291 624 3459.00 119.58 3429.19 20.1058 0.0200
79 40 3458.00 206.59 3425.57 19.5122 0.0200
507 290 3458.00 253.38 3422.74 19.2906 0.0200
12 411 3458.00 143.99 3426.77 19.9042 0.0200
576 559 3458.00 273.41 3423.43 19.2080 0.0200
298 624 3458.00 738.00 3424.00 18.1299 0.0200
871 627 3458.00 272.28 3421.44 19.2125 0.0200
280 640 3458.00 170.25 3426.75 19.7223 0.0200
778 111 3457.00 240.08 3423.84 19.3491 0.0200
898 164 3457.00 243.36 3423.28 19.3344 0.0200
268 165 3457.00 121.59 3427.26 20.0878 0.0200
281 256 3457.00 428.42 3422.33 18.7203 0.0200
423 355 3457.00 175.22 3431.37 19.6911 0.0200
824 386 3457.00 229.98 3423.23 19.3958 0.0200
897 388 3457.00 267.93 3424.39 19.2299 0.0200
194 434 3457.00 535.19 3423.68 18.4787 0.0200
114 525 3457.00 102.78 3430.32 20.2702 0.0200
849 543 3457.00 251.16 3423.68 19.3001 0.0200
655 607 3457.00 223.83 3423.09 19.4252 0.0200
892 135 3456.00 576.84 3419.28 18.3974 0.0200
341 164 3456.00 415.77 3426.46 18.7529 0.0200
583 185 3456.00 223.65 3427.10 19.4261 0.0200
833 368 3456.00 214.11 3422.53 19.4734 0.0200
518 441 3456.00 157.08 3425.84 19.8097 0.0200
368 516 3456.00 502.24 3420.89 18.5477 0.0200
399 588 3456.00 207.92 3423.39 19.5053 0.0200
683 4 3455.00 470.92 3423.52 18.6176 0.0200
2 147 3455.00 187.68 3427.72 19.6165 0.0200
585 188 3455.00 426.97 3423.48 18.7240 0.0200
56 194 3455.00 247.00 3421.00 19.3183 0.0200
375 242 3455.00 579.89 3421.11 18.3916 0.0200
592 391 3455.00 157.02 3423.92 19.8101 0.0200
603 471 3455.00 238.73 3423.79 19.3552 0.0200
841 484 3455.00 228.20 3421.29 19.4042 0.0200
347 542 3455.00 549.08 3421.17 18.4509 0.0200
659 554 3455.00 257.18 3422.14 19.2744 0.0200
274 639 3455.00 554.75 3423.91 18.4398 0.0200
475 11 3454.00 196.38 3425.74 19.5673 0.0200
718 39 3454.00 218.37 3426.51 19.4520 0.0200
488 75 3454.00 184.57 3424.11 19.6346 0.0200
807 132 3454.00 410.31 3423.44 18.7672 0.0200
765 308 3454.00 192.62 3422.26 19.5882 0.0200
95 336 3454.00 219.30 3421.90 19.4474 0.0200
872 347 3454.00 254.40 3422.58 19.2862 0.0200
892 368 3454.00 200.56 3424.88 19.5444 0.0200
427 446 3454.00 185.09 3425.07 19.6315 0.0200
366 641 3454.00 630.86 3418.83 18.3002 0.0200
86 646 3454.00 219.47 3420.96 19.4466 0.0200
462 72 3453.00 474.22 3421.41 18.6101 0.0200
757 81 3453.00 225.00 3422.00 19.4195 0.0200
511 94 3453.00 954.35 3420.89 17.8507 0.0200
678 144 3453.00 472.98 3422.48 18.6129 0.0200
326 175 3453.00 200.78 3425.86 19.5432 0.0200
234 177 3453.00 177.31 3427.13 19.6782 0.0200
515 217 3453.00 396.64 3423.87 18.8040 0.0200
